,county,tract,under_5_count,5_to_17_count,18_to_24_count,broadband_percent
55774,Duplin County,90103,22,97,290,12.8
55775,Duplin County,90201,196,538,151,47.92
55776,Duplin County,90202,84,531,260,45.92
55777,Duplin County,90301,103,314,301,54.24
55778,Duplin County,90302,148,332,238,52.94
55779,Duplin County,90401,223,419,82,40.47
55780,Duplin County,90402,220,480,206,56.43
55781,Duplin County,90503,101,539,227,66.06
55782,Duplin County,90504,285,69,119,74.54
55783,Duplin County,90505,101,461,305,61.45
55784,Duplin County,90506,99,545,133,55.47
55785,Duplin County,90600,106,374,420,59.54
55786,Duplin County,90703,30,167,73,78.29
55787,Duplin County,90704,196,201,209,26.78
55788,Duplin County,90705,77,683,45,63.46
55789,Duplin County,90706,197,625,165,64.41
55790,Duplin County,90801,175,798,226,51.62
55791,Duplin County,90803,74,102,52,52.04
55792,Duplin County,90804,156,854,171,39.05
55793,Durham County,101,240,466,171,74.95
55794,Durham County,102,186,696,225,81.27
55795,Durham County,200,308,376,329,73.04
55796,Durham County,301,157,237,197,68.41
55797,Durham County,302,377,490,216,78.01
55798,Durham County,401,201,417,27,89.62
55799,Durham County,402,53,94,444,88.92
55800,Durham County,500,213,540,1232,64.78
55801,Durham County,600,375,576,446,68.1
55802,Durham County,700,205,582,284,76.02
55803,Durham County,900,148,256,180,53.66
55804,Durham County,1001,203,771,219,58.78
55805,Durham County,1002,693,1286,350,61.45
55806,Durham County,1100,237,332,224,41.25
55807,Durham County,1301,127,391,258,59.48
55808,Durham County,1303,220,198,2584,69.92
55809,Durham County,1304,251,489,118,57.6
55810,Durham County,1400,295,498,66,54.46
55811,Durham County,1501,0,6,3512,20.0
55812,Durham County,1503,0,21,1867,
55813,Durham County,1504,0,255,562,72.69
55814,Durham County,1505,385,262,1028,75.3
55815,Durham County,1601,177,717,515,77.79
55816,Durham County,1603,278,1623,224,86.58
55817,Durham County,1604,326,687,333,82.22
55818,Durham County,1705,611,887,443,82.79
55819,Durham County,1706,252,788,554,84.83
55820,Durham County,1708,141,1067,544,62.21
55821,Durham County,1709,379,1417,517,55.32
55822,Durham County,1710,303,1079,403,81.99
55823,Durham County,1711,218,657,284,73.77
55824,Durham County,1712,174,895,175,81.98
55825,Durham County,1713,198,401,194,77.39
55826,Durham County,1801,917,1258,811,74.24
55827,Durham County,1802,561,1587,636,58.78
55828,Durham County,1806,352,1577,663,76.62
55829,Durham County,1808,762,1723,676,90.14
55830,Durham County,1809,465,1091,608,85.81
55831,Durham County,1810,418,834,128,79.21
55832,Durham County,1811,321,1290,395,80.24
55833,Durham County,1900,138,343,229,86.21
55834,Durham County,2007,171,740,360,88.6
55835,Durham County,2008,148,851,67,98.4
55836,Durham County,2009,477,697,386,75.04
55837,Durham County,2013,269,648,194,88.2
55838,Durham County,2015,427,878,778,62.08
55839,Durham County,2019,149,385,418,90.03
55840,Durham County,2020,741,1626,505,96.86
55841,Durham County,2021,509,724,464,86.06
55842,Durham County,2022,222,507,380,80.98
55843,Durham County,2023,105,466,159,89.4
55844,Durham County,2024,469,602,431,93.43
55845,Durham County,2025,405,1384,423,84.49
55846,Durham County,2026,919,1789,959,66.83
55847,Durham County,2029,169,402,484,80.95
55848,Durham County,2030,163,761,152,77.7
55849,Durham County,2031,382,191,156,89.71
55850,Durham County,2032,138,417,403,76.83
55851,Durham County,2033,202,401,111,82.65
55852,Durham County,2034,430,921,186,79.87
55853,Durham County,2035,566,615,729,79.74
55854,Durham County,2036,62,196,138,71.69
55855,Durham County,2037,333,318,634,84.18
55856,Durham County,2038,124,425,234,88.79
55857,Durham County,2100,240,784,166,69.27
55858,Durham County,2200,97,62,426,78.32
55859,Durham County,2300,90,218,162,65.01
55860,Durham County,980100,0,0,0,
55861,Edgecombe County,20200,551,910,718,59.26
55862,Edgecombe County,20300,202,949,456,44.7
55863,Edgecombe County,20400,348,807,82,55.06
55864,Edgecombe County,20600,125,291,99,60.9
55865,Edgecombe County,20700,28,229,84,46.04
55866,Edgecombe County,20800,115,661,230,55.48
55867,Edgecombe County,20900,68,449,191,46.81
55868,Edgecombe County,21000,110,563,200,65.97
55869,Edgecombe County,21100,213,883,206,65.1
55870,Edgecombe County,21200,416,333,391,62.45
55871,Edgecombe County,21300,134,829,422,65.42
55872,Edgecombe County,21400,338,693,365,62.02
55873,Edgecombe County,21500,119,542,121,59.09
55874,Edgecombe County,21600,34,369,180,40.36
55875,Forsyth County,100,68,55,494,84.11
55876,Forsyth County,200,71,29,108,57.86
55877,Forsyth County,301,119,331,266,49.77
55878,Forsyth County,302,117,154,168,28.01
55879,Forsyth County,400,137,1032,203,44.39
55880,Forsyth County,500,116,636,249,40.46
55881,Forsyth County,600,317,679,256,43.43
55882,Forsyth County,700,270,226,84,35.68
55883,Forsyth County,801,20,213,2924,24.9
55884,Forsyth County,802,103,654,936,48.39
55885,Forsyth County,900,98,284,1055,56.24
55886,Forsyth County,1000,423,549,231,63.53
55887,Forsyth County,1100,50,213,334,62.11
55888,Forsyth County,1200,112,309,32,85.87
55889,Forsyth County,1300,14,196,3501,62.38
55890,Forsyth County,1400,288,1032,343,55.62
55891,Forsyth County,1500,336,1388,429,42.07
55892,Forsyth County,1601,292,483,59,60.4
55893,Forsyth County,1602,231,334,221,30.78
55894,Forsyth County,1700,486,909,501,53.62
55895,Forsyth County,1800,166,883,392,44.71
55896,Forsyth County,1901,78,378,172,50.26
55897,Forsyth County,1902,53,326,215,70.07
55898,Forsyth County,2001,74,538,238,54.45
55899,Forsyth County,2002,140,1398,238,59.9
55900,Forsyth County,2100,137,285,126,74.87
55901,Forsyth County,2200,189,330,148,80.02
55902,Forsyth County,2501,109,565,141,87.89
55903,Forsyth County,2502,93,655,97,89.44
55904,Forsyth County,2601,144,510,21,83.17
55905,Forsyth County,2604,312,1344,443,84.73
55906,Forsyth County,2605,77,345,89,87.68
55907,Forsyth County,2606,49,335,453,68.06
55908,Forsyth County,2701,627,1180,658,69.82
55909,Forsyth County,2702,96,520,213,45.3
55910,Forsyth County,2704,38,361,261,56.28
55911,Forsyth County,2705,136,200,971,75.69
55912,Forsyth County,2801,205,821,325,74.95
55913,Forsyth County,2804,173,730,370,72.62
55914,Forsyth County,2806,140,494,321,61.08
55915,Forsyth County,2807,166,644,178,74.93
55916,Forsyth County,2808,242,649,304,75.97
55917,Forsyth County,2809,100,476,303,67.4
55918,Forsyth County,2901,712,619,307,57.69
55919,Forsyth County,2903,310,699,506,49.22
55920,Forsyth County,2904,73,266,135,64.0
55921,Forsyth County,3002,130,858,207,63.83
55922,Forsyth County,3003,134,980,274,79.02
55923,Forsyth County,3004,187,572,189,76.56
55924,Forsyth County,3103,291,757,327,72.25
55925,Forsyth County,3105,113,733,403,62.82
55926,Forsyth County,3106,309,521,278,74.23
55927,Forsyth County,3107,215,561,355,84.85
55928,Forsyth County,3108,236,751,352,59.58
55929,Forsyth County,3201,330,802,301,76.3
55930,Forsyth County,3202,134,1067,422,70.06
55931,Forsyth County,3307,373,435,543,74.65
55932,Forsyth County,3308,695,1513,511,87.12
55933,Forsyth County,3309,348,964,433,51.05
55934,Forsyth County,3310,289,1201,428,68.49
55935,Forsyth County,3311,124,364,114,83.49
55936,Forsyth County,3312,161,601,204,78.84
55937,Forsyth County,3313,75,269,101,80.33
55938,Forsyth County,3314,106,557,282,74.68
55939,Forsyth County,3315,151,356,274,75.6
55940,Forsyth County,3402,87,519,381,73.48
55941,Forsyth County,3403,249,524,232,48.1
55942,Forsyth County,3404,390,1283,508,57.84
55943,Forsyth County,3500,783,2197,559,59.1
55944,Forsyth County,3600,684,1597,332,68.65
55945,Forsyth County,3701,425,870,409,63.33
55946,Forsyth County,3702,534,965,283,73.93
55947,Forsyth County,3703,601,1635,696,79.06
55948,Forsyth County,3803,206,714,498,78.0
55949,Forsyth County,3804,220,133,313,72.2
55950,Forsyth County,3805,442,747,826,65.86
55951,Forsyth County,3806,184,843,431,79.03
55952,Forsyth County,3903,294,628,252,43.09
55953,Forsyth County,3904,302,561,541,84.39
55954,Forsyth County,3905,204,433,568,75.41
55955,Forsyth County,3906,156,705,154,82.53
55956,Forsyth County,3908,191,807,302,90.17
55957,Forsyth County,3909,110,713,156,89.29
55958,Forsyth County,4005,279,727,143,84.15
55959,Forsyth County,4007,390,1653,612,84.12
55960,Forsyth County,4009,273,1191,174,85.24
55961,Forsyth County,4010,347,713,196,92.67
55962,Forsyth County,4011,488,1118,557,81.37
55963,Forsyth County,4012,299,980,520,84.55
55964,Forsyth County,4013,238,722,265,80.93
55965,Forsyth County,4014,52,557,151,74.94
55966,Forsyth County,4015,293,881,222,82.89
55967,Forsyth County,4102,141,318,207,83.36
55968,Forsyth County,4103,297,1024,249,82.39
55969,Forsyth County,4104,281,822,278,88.61
55970,Franklin County,60100,323,948,189,49.22
55971,Franklin County,60200,115,482,204,46.8
55972,Franklin County,60301,105,662,1001,70.93
55973,Franklin County,60302,151,345,225,51.89
55974,Franklin County,60401,236,257,435,47.18
55975,Franklin County,60403,178,551,216,56.46
55976,Franklin County,60404,128,395,43,65.92
55977,Franklin County,60501,488,1239,816,75.95
55978,Franklin County,60502,433,1740,651,82.77
55979,Franklin County,60601,213,621,182,84.52
55980,Franklin County,60602,303,1328,528,72.7
55981,Franklin County,60701,130,211,203,43.36
55982,Franklin County,60702,251,120,186,51.72
55983,Franklin County,60703,35,530,25,83.54
55984,Franklin County,60801,233,627,216,72.44
55985,Franklin County,60802,407,1129,395,63.7
55986,Gaston County,30103,87,261,48,76.61
55987,Gaston County,30104,120,308,33,83.69
55988,Gaston County,30105,108,535,200,83.99
55989,Gaston County,30106,0,64,190,74.12
55990,Gaston County,30205,338,766,266,64.87
55991,Gaston County,30206,145,615,169,85.4
55992,Gaston County,30207,70,77,79,69.37
55993,Gaston County,30208,6,64,48,88.64
55994,Gaston County,30209,99,204,57,79.97
55995,Gaston County,30301,161,373,112,62.63
55996,Gaston County,30302,133,335,48,58.3
55997,Gaston County,30401,201,610,327,64.02
55998,Gaston County,30403,40,337,220,75.32
55999,Gaston County,30404,63,394,113,79.57
56000,Gaston County,30501,293,477,282,65.38
56001,Gaston County,30503,75,198,131,87.24
56002,Gaston County,30504,60,192,148,63.11
56003,Gaston County,30601,116,444,71,65.36
56004,Gaston County,30602,220,259,357,46.57
56005,Gaston County,30700,141,853,390,67.58
56006,Gaston County,30801,87,197,201,67.13
56007,Gaston County,30802,283,380,749,49.51
56008,Gaston County,30901,68,494,114,75.21
56009,Gaston County,30902,492,971,460,63.3
56010,Gaston County,31001,109,575,306,57.47
56011,Gaston County,31004,151,554,125,68.23
56012,Gaston County,31005,93,316,123,78.31
56013,Gaston County,31006,160,118,39,69.92
56014,Gaston County,31101,198,530,407,73.76
56015,Gaston County,31102,85,277,332,80.06
56016,Gaston County,31202,164,245,712,63.87
56017,Gaston County,31203,175,205,112,81.12
56018,Gaston County,31204,0,275,188,59.1
56019,Gaston County,31301,330,955,428,75.11
56020,Gaston County,31303,73,440,78,53.32
56021,Gaston County,31304,123,476,225,76.9
56022,Gaston County,31401,351,499,148,63.69
56023,Gaston County,31402,109,353,178,77.96
56024,Gaston County,31500,437,943,404,52.08
56025,Gaston County,31600,156,530,368,57.09
56026,Gaston County,31703,298,343,310,67.85
56027,Gaston County,31704,112,888,211,64.14
56028,Gaston County,31705,83,229,260,68.62
56029,Gaston County,31706,83,186,82,78.74
56030,Gaston County,31800,336,751,306,62.96
56031,Gaston County,31901,28,185,38,63.71
56032,Gaston County,31902,14,248,243,35.7
56033,Gaston County,32000,223,403,234,54.71
56034,Gaston County,32100,140,561,187,54.71
56035,Gaston County,32201,52,307,86,67.57
56036,Gaston County,32202,155,309,115,72.42
56037,Gaston County,32301,173,357,378,78.59
56038,Gaston County,32302,301,520,178,65.54
56039,Gaston County,32403,215,345,210,72.53
56040,Gaston County,32404,168,916,89,83.03
56041,Gaston County,32405,189,578,170,90.14
56042,Gaston County,32406,61,594,188,82.59
56043,Gaston County,32505,233,624,256,92.84
56044,Gaston County,32506,108,397,501,68.96
56045,Gaston County,32507,207,761,192,75.22
56046,Gaston County,32508,76,483,196,80.73
56047,Gaston County,32509,115,790,116,89.14
56048,Gaston County,32510,174,332,33,89.16
56049,Gaston County,32600,114,864,220,82.53
56050,Gaston County,32702,62,279,121,61.25
56051,Gaston County,32703,149,440,224,66.8
56052,Gaston County,32704,198,393,663,58.8
56053,Gaston County,32801,76,420,77,61.89
56054,Gaston County,32802,308,683,194,67.32
56055,Gaston County,32900,352,995,431,66.24
56056,Gaston County,33100,249,553,378,62.39
56057,Gaston County,33202,92,317,200,74.65
56058,Gaston County,33203,218,584,225,63.17
56059,Gaston County,33204,389,651,196,66.38
56060,Gaston County,33303,170,564,253,84.01
56061,Gaston County,33306,76,221,38,72.91
56062,Gaston County,33308,28,201,81,75.18
56063,Gaston County,33309,124,292,141,74.49
56064,Gaston County,33310,46,339,128,72.07
56065,Gaston County,33311,36,126,34,72.95
56066,Gaston County,33312,267,876,216,90.92
56067,Gaston County,33313,36,476,98,88.43
56068,Gaston County,33400,145,340,162,54.06
56069,Gaston County,33501,167,400,283,71.8
56070,Gaston County,33502,183,299,61,75.73
56071,Gates County,970100,174,394,314,50.95
56072,Gates County,970200,105,581,237,66.35
56073,Gates County,970300,87,756,217,49.59
56074,Graham County,920100,64,392,64,54.78
56075,Graham County,920200,150,301,172,50.06
56076,Graham County,920300,149,563,421,58.64
56077,Granville County,970101,135,973,363,54.23
56078,Granville County,970102,150,623,618,58.45
56079,Granville County,970200,184,732,329,62.36
56080,Granville County,970300,223,429,213,51.66
56081,Granville County,970400,172,678,232,62.05
56082,Granville County,970500,180,963,445,58.04
56083,Granville County,970601,142,727,325,61.4
56084,Granville County,970604,238,344,196,77.75
56085,Granville County,970605,460,939,421,84.38
56086,Granville County,970606,88,355,87,80.1
56087,Granville County,970607,565,796,282,88.34
56088,Granville County,970701,270,1058,559,80.2
56089,Granville County,970702,132,335,186,64.73
56090,Granville County,970703,119,505,845,63.45
56091,Granville County,970704,8,9,49,
56092,Greene County,950101,314,597,338,46.73
56093,Greene County,950102,136,468,307,34.34
56094,Greene County,950200,159,932,454,37.32
56095,Greene County,950301,291,528,483,38.38
56096,Greene County,950302,127,600,226,48.51
56097,Guilford County,10100,157,336,66,55.27
56098,Guilford County,10200,657,719,227,55.26
56099,Guilford County,10300,162,604,193,58.23
56100,Guilford County,10401,98,138,130,91.02
56101,Guilford County,10403,62,167,32,81.97
56102,Guilford County,10404,72,479,167,92.67
56103,Guilford County,10500,36,403,59,84.79
56104,Guilford County,10601,120,168,217,85.44
56105,Guilford County,10602,0,427,2145,78.79
56106,Guilford County,10701,65,191,406,72.79
56107,Guilford County,10702,11,56,5492,63.95
56108,Guilford County,10800,47,113,261,68.11
56109,Guilford County,10900,35,125,394,72.32
56110,Guilford County,11000,88,246,4233,46.54
56111,Guilford County,11101,374,773,377,39.33
56112,Guilford County,11102,78,388,180,52.64
56113,Guilford County,11201,75,303,1475,63.22
56114,Guilford County,11202,217,1177,284,48.23
56115,Guilford County,11300,212,286,267,60.46
56116,Guilford County,11400,755,1195,986,45.62
56117,Guilford County,11500,34,387,485,56.57
56118,Guilford County,11601,127,549,439,75.55
56119,Guilford County,11602,252,631,199,55.19
56120,Guilford County,11904,444,925,387,69.07
56121,Guilford County,11905,565,862,347,64.39
56122,Guilford County,12503,194,859,226,75.01
56123,Guilford County,12504,245,672,267,73.43
56124,Guilford County,12505,195,658,251,92.91
56125,Guilford County,12508,50,440,134,70.14
56126,Guilford County,12509,113,428,71,93.61
56127,Guilford County,12510,126,535,89,94.76
56128,Guilford County,12511,336,1016,104,95.56
56129,Guilford County,12604,272,528,241,59.73
56130,Guilford County,12607,159,434,124,80.86
56131,Guilford County,12608,293,518,278,49.78
56132,Guilford County,12610,193,434,204,63.84
56133,Guilford County,12611,261,865,216,62.02
56134,Guilford County,12612,421,1075,436,64.64
56135,Guilford County,12617,161,955,307,63.49
56136,Guilford County,12618,137,659,1185,64.72
56137,Guilford County,12619,168,453,422,70.26
56138,Guilford County,12620,218,692,354,67.5
56139,Guilford County,12621,424,801,362,77.25
56140,Guilford County,12703,49,1080,232,76.32
56141,Guilford County,12704,205,888,726,68.49
56142,Guilford County,12705,434,877,220,71.47
56143,Guilford County,12706,372,1127,269,25.71
56144,Guilford County,12707,147,784,229,58.44
56145,Guilford County,12803,512,1623,1148,72.23
56146,Guilford County,12804,127,1164,236,72.45
56147,Guilford County,12805,63,417,334,79.78
56148,Guilford County,13601,51,97,2021,61.09
56149,Guilford County,13602,338,493,556,69.04
56150,Guilford County,13700,190,546,257,78.05
56151,Guilford County,13800,164,1098,284,48.72
56152,Guilford County,13900,230,542,304,29.23
56153,Guilford County,14000,293,527,559,50.29
56154,Guilford County,14200,263,1052,241,60.92
56155,Guilford County,14300,243,637,264,43.15
56156,Guilford County,14406,166,391,183,50.37
56157,Guilford County,14407,368,867,299,67.27
56158,Guilford County,14408,198,572,207,61.7
56159,Guilford County,14409,92,400,204,71.01
56160,Guilford County,14410,310,488,416,71.73
56161,Guilford County,14411,473,794,1442,65.14
56162,Guilford County,14412,74,384,178,83.26
56163,Guilford County,14501,270,156,128,54.37
56164,Guilford County,14502,391,969,421,63.68
56165,Guilford County,14503,434,484,495,53.27
56166,Guilford County,15100,310,705,421,62.58
56167,Guilford County,15201,291,668,363,71.09
56168,Guilford County,15202,360,1359,369,77.67
56169,Guilford County,15301,304,862,268,72.66
56170,Guilford County,15302,249,689,330,77.07
56171,Guilford County,15401,650,983,534,70.46
56172,Guilford County,15402,793,1654,431,72.13
56173,Guilford County,15500,427,1060,898,69.22
56174,Guilford County,15601,190,1266,393,90.49
56175,Guilford County,15602,221,1375,482,66.06
56176,Guilford County,15703,347,486,296,81.44
56177,Guilford County,15704,388,1068,881,77.15
56178,Guilford County,15705,77,287,199,79.34
56179,Guilford County,15706,500,1566,577,84.07
56180,Guilford County,15707,283,732,427,86.78
56181,Guilford County,15800,502,1620,708,84.33
56182,Guilford County,15901,215,1652,404,83.93
56183,Guilford County,15902,211,1006,152,91.94
56184,Guilford County,16003,363,1041,332,86.65
56185,Guilford County,16005,96,458,126,84.47
56186,Guilford County,16006,347,750,546,85.33
56187,Guilford County,16007,273,581,453,83.22
56188,Guilford County,16008,224,2128,415,80.54
56189,Guilford County,16009,178,557,236,91.76
56190,Guilford County,16010,140,98,166,84.24
56191,Guilford County,16011,605,564,425,73.23
56192,Guilford County,16101,138,407,1083,66.78
56193,Guilford County,16102,280,481,612,81.08
56194,Guilford County,16103,381,783,456,84.77
56195,Guilford County,16201,153,1496,333,90.86
56196,Guilford County,16203,329,797,383,79.99
56197,Guilford County,16204,361,1073,381,90.38
56198,Guilford County,16205,395,714,316,78.28
56199,Guilford County,16303,83,426,122,88.71
56200,Guilford County,16304,227,633,260,92.84
56201,Guilford County,16305,176,831,208,93.89
56202,Guilford County,16306,402,685,334,79.33
56203,Guilford County,16405,89,83,51,73.04
56204,Guilford County,16406,172,436,315,80.67
56205,Guilford County,16407,437,748,298,88.9
56206,Guilford County,16408,104,325,55,86.4
56207,Guilford County,16409,66,261,114,82.19
56208,Guilford County,16410,117,1102,542,74.57
56209,Guilford County,16502,100,1015,625,75.36
56210,Guilford County,16503,573,499,602,85.9
56211,Guilford County,16505,238,587,388,80.48
56212,Guilford County,16506,396,762,286,75.42
56213,Guilford County,16600,61,380,123,67.49
56214,Guilford County,16701,190,1200,624,76.62
56215,Guilford County,16702,239,592,232,70.77
56216,Guilford County,16800,296,1618,566,65.01
56217,Guilford County,16900,183,792,258,70.52
56218,Guilford County,17000,249,766,345,64.6
56219,Guilford County,17101,194,700,234,84.01
56220,Guilford County,17102,49,192,211,71.01
56221,Guilford County,17200,610,1539,469,66.39
56222,Guilford County,980100,0,0,0,
56223,Halifax County,930100,252,437,337,44.06
56224,Halifax County,930200,184,849,261,70.52
56225,Halifax County,930300,170,935,295,63.36
56226,Halifax County,930400,445,729,326,61.59
56227,Halifax County,930501,325,588,236,61.98
56228,Halifax County,930503,0,383,147,75.93
56229,Halifax County,930504,177,602,480,63.59
56230,Halifax County,930600,413,811,235,61.81
56231,Halifax County,930701,14,232,38,40.43
56232,Halifax County,930702,42,215,60,52.06
56233,Halifax County,930800,279,705,521,29.14
56234,Halifax County,930901,18,324,63,18.1
56235,Halifax County,930902,188,549,121,22.12
56236,Halifax County,931000,84,151,242,22.42
56237,Halifax County,931101,25,79,42,35.61
56238,Halifax County,931102,65,363,181,19.04
56239,Harnett County,70100,225,558,529,55.09
56240,Harnett County,70200,93,607,163,49.68
56241,Harnett County,70300,225,682,360,58.59
56242,Harnett County,70401,320,579,159,65.69
56243,Harnett County,70402,210,1190,716,60.68
56244,Harnett County,70500,455,851,419,59.42
56245,Harnett County,70600,185,647,352,66.95
56246,Harnett County,70700,144,874,441,56.6
56247,Harnett County,70801,183,328,118,72.11
56248,Harnett County,70802,91,319,2471,73.02
56249,Harnett County,70901,258,586,333,81.55
56250,Harnett County,70902,99,393,76,60.39
56251,Harnett County,70903,100,409,224,83.16
56252,Harnett County,70904,378,524,209,79.39
56253,Harnett County,71002,201,618,177,61.42
56254,Harnett County,71003,351,576,199,76.86
56255,Harnett County,71004,125,215,219,70.53
56256,Harnett County,71101,55,864,281,66.62
56257,Harnett County,71102,153,1072,338,68.02
56258,Harnett County,71201,246,505,142,75.7
56259,Harnett County,71202,494,1031,435,70.56
56260,Harnett County,71203,439,585,182,74.43
56261,Harnett County,71204,989,2177,384,70.04
56262,Harnett County,71301,184,861,78,52.54
56263,Harnett County,71302,428,1639,801,72.18
56264,Harnett County,71303,1489,2296,497,87.48
56265,Harnett County,71401,167,721,351,60.15
56266,Harnett County,71402,1296,3323,835,79.62
56267,Haywood County,920101,77,412,445,46.6
56268,Haywood County,920102,204,414,248,40.3
56269,Haywood County,920201,16,105,67,25.48
56270,Haywood County,920202,489,456,147,51.03
56271,Haywood County,920300,192,659,100,57.24
56272,Haywood County,920400,155,333,178,56.86
56273,Haywood County,920501,117,250,96,58.44
56274,Haywood County,920502,117,1014,502,51.24
56275,Haywood County,920601,32,499,131,62.63
56276,Haywood County,920602,50,361,173,66.63
56277,Haywood County,920701,42,414,121,74.01
56278,Haywood County,920702,17,256,78,64.9
56279,Haywood County,920800,173,473,229,56.95
56280,Haywood County,920900,41,128,199,55.26
56281,Haywood County,921000,51,230,238,64.87
56282,Haywood County,921100,216,493,152,55.54
56283,Haywood County,921201,44,163,132,69.35
56284,Haywood County,921202,309,574,53,46.71
56285,Haywood County,921301,91,636,401,53.6
56286,Haywood County,921302,333,613,336,63.04
56287,Haywood County,980100,0,0,0,
56288,Henderson County,930100,181,806,255,52.15
56289,Henderson County,930201,268,897,269,61.48
56290,Henderson County,930202,94,465,445,56.27
56291,Henderson County,930301,252,449,276,88.34
56292,Henderson County,930302,303,490,256,76.33
56293,Henderson County,930401,151,284,146,67.99
56294,Henderson County,930402,149,438,149,55.27
56295,Henderson County,930501,357,714,363,67.75
56296,Henderson County,930502,279,871,303,68.9
56297,Henderson County,930600,254,680,467,73.98
56298,Henderson County,930701,166,566,70,85.65
56299,Henderson County,930702,220,827,403,66.93
56300,Henderson County,930703,365,661,319,74.48
56301,Henderson County,930800,165,897,510,63.18
56302,Henderson County,930900,81,346,277,73.0
56303,Henderson County,931000,68,892,155,54.3
56304,Henderson County,931100,113,201,183,77.05
56305,Henderson County,931200,38,405,71,68.18
56306,Henderson County,931300,340,658,311,64.41
56307,Henderson County,931401,66,855,460,73.5
56308,Henderson County,931402,199,471,374,47.77
56309,Henderson County,931500,153,309,124,82.74
56310,Henderson County,931600,463,667,162,72.78
56311,Henderson County,931700,30,478,152,87.32
56312,Henderson County,931801,113,404,151,87.05
56313,Henderson County,931802,98,363,211,83.66
56314,Henderson County,931901,255,320,100,83.85
56315,Henderson County,931902,83,499,130,69.83
56316,Henderson County,932000,123,557,338,66.54
56317,Henderson County,980100,0,0,0,
56318,Hertford County,950101,87,344,1066,59.07
56319,Hertford County,950102,141,595,142,48.81
56320,Hertford County,950201,43,267,92,43.12
56321,Hertford County,950202,120,370,92,54.12
56322,Hertford County,950300,249,430,403,50.09
56323,Hertford County,950401,192,515,225,65.83
56324,Hertford County,950402,143,624,345,61.42
56325,Hertford County,980000,0,0,85,
56326,Hoke County,970104,418,1064,528,77.76
56327,Hoke County,970105,487,1180,309,81.56
56328,Hoke County,970106,340,1426,409,83.94
56329,Hoke County,970107,862,1463,396,72.69
56330,Hoke County,970108,406,966,451,81.06
56331,Hoke County,970109,761,645,342,87.28
56332,Hoke County,970201,198,668,527,63.09
56333,Hoke County,970202,335,746,426,65.28
56334,Hoke County,970300,146,872,337,60.39
56335,Hoke County,970401,205,514,262,61.88
56336,Hoke County,970402,138,436,246,49.57
56337,Hoke County,980100,0,0,0,100.0
56338,Hyde County,920101,179,562,3,37.03
56339,Hyde County,920102,87,128,120,58.95
56340,Hyde County,990100,0,0,0,
56341,Hyde County,990200,0,0,0,
56342,Iredell County,60100,244,1189,436,73.48
56343,Iredell County,60200,150,408,290,55.65
56344,Iredell County,60300,125,582,257,59.83
56345,Iredell County,60400,311,596,299,58.01
56346,Iredell County,60500,128,544,377,69.67
56347,Iredell County,60601,309,934,761,59.27
56348,Iredell County,60602,62,350,67,71.11
56349,Iredell County,60603,135,262,264,72.77
56350,Iredell County,60701,183,474,417,74.38
56351,Iredell County,60702,418,553,319,55.49
56352,Iredell County,60703,189,572,214,72.78
56353,Iredell County,60801,133,475,222,60.44
56354,Iredell County,60802,303,628,197,71.97
56355,Iredell County,60901,194,594,274,68.78
56356,Iredell County,60902,177,630,291,53.76
56357,Iredell County,61001,402,656,293,66.85
56358,Iredell County,61002,277,507,264,71.11
56359,Iredell County,61003,154,654,241,68.13
56360,Iredell County,61101,69,553,238,60.56
56361,Iredell County,61102,69,545,158,68.32
56362,Iredell County,61103,123,446,188,71.23
56363,Iredell County,61104,94,404,109,70.75
56364,Iredell County,61201,190,692,232,87.36
56365,Iredell County,61202,349,817,576,74.36
56366,Iredell County,61203,258,946,362,85.41
56367,Iredell County,61204,180,919,238,92.86
56368,Iredell County,61205,219,627,223,75.62
56369,Iredell County,61301,107,417,221,73.23
56370,Iredell County,61302,454,817,199,77.97
56371,Iredell County,61303,341,948,385,88.8
56372,Iredell County,61304,318,608,736,85.12
56373,Iredell County,61401,242,1342,224,93.79
56374,Iredell County,61402,280,1282,599,91.25
56375,Iredell County,61403,199,642,563,78.5
56376,Iredell County,61404,47,438,109,82.16
56377,Iredell County,61405,126,505,402,87.94
56378,Iredell County,61406,241,1090,469,89.76
56379,Iredell County,61407,328,781,239,78.43
56380,Iredell County,61408,311,1323,271,85.65
56381,Iredell County,61501,270,1462,468,81.33
56382,Iredell County,61502,373,1063,263,82.47
56383,Iredell County,61503,245,808,309,81.28
56384,Iredell County,61601,154,697,403,76.51
56385,Iredell County,61603,340,884,395,86.48
56386,Iredell County,61604,31,231,154,91.17
56387,Iredell County,61605,136,403,227,90.92
56388,Jackson County,940200,328,1116,321,38.84
56389,Jackson County,950200,32,172,123,43.14
56390,Jackson County,950300,293,1015,450,62.47
56391,Jackson County,950400,286,612,593,61.35
56392,Jackson County,950500,255,806,156,49.24
56393,Jackson County,950600,200,1074,5967,51.88
56394,Jackson County,950700,184,447,247,54.43
56395,Jackson County,950800,108,175,65,44.07
56396,Jackson County,950900,45,124,59,67.79
56397,Johnston County,40101,316,566,189,42.77
56398,Johnston County,40102,52,364,287,36.64
56399,Johnston County,40103,24,541,85,77.54
56400,Johnston County,40204,241,1338,286,62.31
56401,Johnston County,40205,300,1055,440,61.37
56402,Johnston County,40206,488,593,257,39.3
56403,Johnston County,40207,569,2090,703,86.19
